Channel.002
Axis [s],ROI.01 [],ROI.02 []
45.343,9.35583446404342,9.50584464555053
45.843,9.30698778833107,9.47737556561086
46.343,9.09667571234735,9.25961538461539
46.843,9.33616010854817,9.37877073906486
47.343,9.29613297150611,9.30335595776772
47.84,9.14993215739484,9.39272247360483
48.343,9.15943012211669,9.36764705882353
48.843,9.11194029850746,9.22812971342383
49.343,8.95251017639077,9.21380090497738
49.843,9.19131614654003,9.01036953242836
50.343,9.03900949796472,9.07937405731523
50.843,8.90773405698779,8.99924585218703
51.343,9.02476255088195,8.79958521870287
51.843,9.09565807327001,8.95418552036199
52.343,8.92910447761194,8.90478883861237
52.843,8.97659430122117,9.09294871794872
53.343,8.828697421981,9.03186274509804
53.843,8.8853459972863,9.13970588235294
54.343,8.859565807327,9.07013574660633
54.843,8.95624151967436,9.07051282051282
55.343,8.92401628222524,9.07937405731523
55.843,9.01967435549525,9.16515837104072
56.343,9.1044776119403,9.03318250377074
56.843,9.06411126187246,8.95965309200603
57.343,9.03968792401628,9.08314479638009
57.84,8.92672998643148,8.8684012066365
58.34,8.98948439620081,8.8301282051282
58.84,8.95115332428765,8.82371794871795
59.343,8.9623473541384,8.78450226244344
59.843,8.85176390773406,8.78129713423831
60.343,8.85210312075984,8.87990196078431
60.843,8.82293080054274,8.82258672699849
61.343,8.87381275440977,8.71493212669683
61.843,8.88127544097693,8.73303167420814
62.343,8.5702170963365,8.84502262443439
62.843,8.99898236092266,8.90252639517345
63.343,8.67367706919946,8.914592760181
63.843,8.6729986431479,8.80788084464555
64.343,8.76492537313433,8.77356711915535
64.843,8.57157394843962,8.66968325791855
65.343,8.58242876526459,8.63574660633484
65.843,8.58649932157395,8.52714932126697
66.343,8.59192672998643,8.63782051282051
66.843,8.5393487109905,8.6078431372549
67.343,8.57157394843962,8.54996229260935
67.84,8.44911804613297,8.3684012066365
68.34,8.4932157394844,8.43702865761689
68.84,8.31614654002714,8.38499245852187
69.34,8.49864314789688,8.17213423831071
69.84,8.32496607869742,8.22680995475113
70.343,8.38398914518318,8.20946455505279
70.843,8.26424694708277,8.23453996983409
71.343,8.0393487109905,8.13518099547511
71.843,8.14620081411126,7.9947209653092
72.343,8.17096336499322,8.12085218702866
72.843,8.33853459972863,8.18382352941176
73.343,8.14518317503392,8.30052790346908
73.843,8.24185888738127,8.10727752639517
74.343,8.01763907734057,8.19890648567119
74.843,7.95759837177748,8.08842383107089
75.343,7.81241519674356,8.13838612368024
75.843,8.02510176390773,8.13046757164404
76.343,7.93351424694708,8.15969079939668
76.843,7.78392130257802,8.21587481146305
