Channel.002
Axis [s],ROI.01 [],ROI.02 [],ROI.03 []
0,65.781684981685,78.28125,62.4074074074074
0.177,64.9626373626374,77.0819256756757,60.8844444444444
0.355,63.6175824175824,76.3893581081081,59.7688888888889
0.532,62.3135531135531,74.0118243243243,59.2151851851852
0.71,60.9304029304029,73.5278716216216,57.8007407407407
0.887,59.5340659340659,72.945945945946,57.1581481481482
1.065,58.9355311355311,71.683277027027,56.4533333333333
1.242,58.2586080586081,70.0785472972973,55.2411111111111
1.42,55.9289377289377,69.4738175675676,54.8292592592593
1.597,56.2967032967033,68.6258445945946,53.967037037037
1.775,55.5846153846154,67.4163851351351,53.1666666666667
1.96,54.0791208791209,66.2711148648649,52.9166666666667
2.137,52.2029304029304,66.3319256756757,51.537037037037
2.315,53.3531135531136,64.8327702702703,50.9366666666667
2.492,52.152380952381,63.2314189189189,50.4114814814815
2.67,51.2380952380952,62.4155405405405,49.5918518518519
2.847,50.9340659340659,60.8488175675676,49.8392592592593
3.025,50.8923076923077,59.6934121621622,48.8359259259259
3.202,48.9120879120879,59.535472972973,47.7962962962963
3.38,48.9750915750916,58.9898648648649,47.4351851851852
3.557,48.4336996336996,58.1486486486486,47.0266666666667
3.735,47.0505494505495,56.9856418918919,45.9481481481482
3.92,46.4827838827839,56.7136824324324,45.2677777777778
4.097,46.5567765567766,55.7981418918919,45.0396296296296
4.275,46.2945054945055,55.2576013513514,44.617037037037
4.452,45.4937728937729,54.3260135135135,44.5703703703704
4.63,44.4505494505495,53.8108108108108,44.1925925925926
4.807,44.3604395604396,53.46875,43.2859259259259
4.985,44.2505494505495,52.4493243243243,42.5785185185185
5.162,42.1538461538462,51.1410472972973,42.0044444444444
5.397,44.7128205128205,54.6326013513514,45.112962962963
5.575,45.0139194139194,54.3918918918919,44.7992592592593
5.752,44.2915750915751,53.8885135135135,44.6707407407407
5.937,44.5120879120879,53.6030405405405,44.1133333333333
6.115,43.5582417582418,52.3108108108108,43.982962962963
6.292,44.3875457875458,53.8454391891892,43.5211111111111
6.47,44.5223443223443,52.4527027027027,43.9544444444444
6.647,44.1992673992674,52.6900337837838,44.0948148148148
6.825,43.992673992674,51.7905405405405,43.2396296296296
7.002,43.8879120879121,53.0287162162162,43.4496296296296
7.18,43.4923076923077,53.3834459459459,43.5474074074074
7.357,43.6432234432234,52.6351351351351,42.9766666666667
7.535,44.1970695970696,52.1959459459459,43.4440740740741
7.712,43.2959706959707,52.3133445945946,42.997037037037
7.897,43.9164835164835,50.8513513513514,43.1918518518519
8.115,40.3860805860806,48.0675675675676,39.5492592592593
8.292,40.1868131868132,47.5320945945946,38.8633333333333
8.47,39.4373626373626,46.2364864864865,38.7822222222222
8.647,39.3875457875458,45.5498310810811,37.6166666666667
8.825,38.785347985348,45.1537162162162,37.59
9.002,39.1194139194139,44.9586148648649,37.1944444444444
9.18,38.3824175824176,44.527027027027,36.2214814814815
9.357,38.2102564102564,43.6165540540541,36.1677777777778
9.535,38.0315018315018,43.0608108108108,35.202962962963
9.712,37.603663003663,42.7094594594595,34.6148148148148
9.897,37.6871794871795,42.0337837837838,34.0648148148148
10.075,35.9721611721612,41.2119932432432,34.1525925925926
10.252,35.8827838827839,41.8074324324324,33.5855555555556
10.43,35.0673992673993,41.027027027027,32.9914814814815
10.607,34.8937728937729,40.4983108108108,32.7518518518519
10.785,34.2520146520147,39.9189189189189,32.8740740740741
10.962,33.1274725274725,40.8133445945946,32.3955555555556
11.14,33.63663003663,39.0472972972973,32.3162962962963
11.317,33.3663003663004,39.53125,31.8544444444444
11.495,34.0600732600733,39.3327702702703,31.2281481481481
11.672,33.3069597069597,38.7322635135135,30.7281481481481
11.857,33.2732600732601,37.9459459459459,30.7451851851852
12.035,32.596336996337,37.8927364864865,30.5292592592593
12.212,32.4212454212454,37.4222972972973,30.3333333333333
12.39,31.7003663003663,37.0701013513514,30.4455555555556
12.567,31.8417582417582,36.9028716216216,30.0003703703704
12.745,31.7736263736264,36.7381756756757,29.8018518518519
12.922,31,35.7305743243243,29.8503703703704
13.1,31.3567765567766,35.46875,29.4351851851852
13.277,31.0410256410256,35.5016891891892,29.1640740740741
13.455,30.1223443223443,34.1596283783784,28.8340740740741
13.632,30.3047619047619,35.1241554054054,28.2188888888889
13.81,30.2725274725275,33.9146959459459,28.3251851851852
13.995,29.429304029304,34.1233108108108,28.2177777777778
14.172,29.1025641025641,33.5464527027027,28.3096296296296
14.35,28.4652014652015,32.7829391891892,27.5337037037037
14.527,28.7347985347985,33.2787162162162,27.6118518518519
14.705,28.8087912087912,32.1587837837838,27.6737037037037
14.882,28.4285714285714,31.6469594594595,27.3392592592593
15.06,27.7457875457875,31.5709459459459,27.3003703703704
15.237,28.0358974358974,31.1621621621622,26.8825925925926
15.415,27.9553113553114,30.8175675675676,26.6251851851852
15.592,27.756043956044,30.8834459459459,26.2203703703704
15.77,27.4520146520147,30.839527027027,26.1814814814815
15.955,27.5296703296703,30.2516891891892,26.0496296296296
16.132,27.203663003663,29.6925675675676,26.0140740740741
16.31,27.1641025641026,29.2347972972973,25.6111111111111
16.487,26.8703296703297,29.1461148648649,25.8611111111111
16.665,26.5032967032967,29.1486486486486,25.3988888888889
16.842,25.8336996336996,28.9155405405405,25.6359259259259
17.345,26.0879120879121,29.3902027027027,25.8092592592593
17.845,26.1912087912088,29.7592905405405,25.4844444444444
18.345,25.8688644688645,29.6165540540541,25.8374074074074
18.845,26.6725274725275,29.4679054054054,26.1588888888889
19.345,26.7399267399267,29.8766891891892,26.0462962962963
19.845,27.0813186813187,30.3403716216216,25.8811111111111
20.345,27.5721611721612,30.9983108108108,25.8151851851852
20.845,27.814652014652,30.589527027027,25.9633333333333
21.345,27.2542124542125,30.402027027027,25.7455555555556
21.845,27.7714285714286,30.0608108108108,25.6503703703704
22.345,27.4175824175824,31.5202702702703,25.762962962963
22.845,26.6769230769231,30.5050675675676,25.7692592592593
23.345,26.8161172161172,30.3665540540541,26.03
23.845,26.4344322344322,30.4442567567568,25.8537037037037
24.345,25.7516483516484,30.8952702702703,25.972962962963
24.845,25.7318681318681,31.1782094594595,26.13
25.345,26.0432234432234,30.1579391891892,25.7092592592593
25.845,26.1172161172161,30.1824324324324,25.9433333333333
26.345,26.1758241758242,29.8885135135135,25.8844444444444
26.845,25.5567765567766,29.7989864864865,25.7455555555556
27.345,25.5978021978022,30.4054054054054,25.8325925925926
27.845,26.1296703296703,30.6469594594595,26.3444444444444
28.345,25.5054945054945,30.6334459459459,26.1703703703704
28.845,25.3252747252747,30.0084459459459,26.0855555555556
29.345,25.6622710622711,29.1486486486486,25.8722222222222
29.845,25.8117216117216,30.0287162162162,26.1214814814815
30.345,25.752380952381,29.8226351351351,26.0748148148148
30.845,25.6769230769231,29.5709459459459,25.7255555555556
31.345,26.0688644688645,29.6334459459459,26.1737037037037
31.845,25.840293040293,29.2398648648649,25.8559259259259
32.345,25.2278388278388,29.5760135135135,25.7033333333333
32.845,25.5377289377289,28.6554054054054,26.0396296296296
33.345,25.5787545787546,28.53125,25.5859259259259
33.845,25.3457875457875,29.0236486486486,25.4781481481481
34.345,25.425641025641,29.0084459459459,25.0862962962963
34.845,25.5985347985348,28.4628378378378,24.6944444444444
35.345,25.6886446886447,28.7922297297297,24.977037037037
35.845,25.7326007326007,28.2702702702703,25.08
36.345,25.5399267399267,27.6554054054054,24.7748148148148
36.845,24.9208791208791,29.2711148648649,24.64
37.345,24.8102564102564,29.1706081081081,24.7274074074074
37.845,24.174358974359,29.7373310810811,24.8814814814815
38.345,24.5619047619048,29.1165540540541,24.9425925925926
38.845,24.1516483516484,28.5692567567568,25.2907407407407
39.345,24.1868131868132,28.8851351351351,25.3403703703704
39.845,24.1311355311355,27.8158783783784,24.4725925925926
40.345,24.1347985347985,28.5152027027027,24.6233333333333
40.845,23.8095238095238,28.9966216216216,24.5451851851852
41.345,23.410989010989,28.3226351351351,23.6062962962963
41.845,23.4336996336996,27.8902027027027,24.3855555555556
42.345,23.6527472527473,28.5810810810811,24.2759259259259
42.845,23.8307692307692,28.9797297297297,24.4185185185185
43.345,23.7289377289377,28.1993243243243,24.52
43.845,24.0996336996337,27.5827702702703,24.8385185185185
44.345,23.8981684981685,27.4239864864865,24.5866666666667
44.845,23.6791208791209,27.1858108108108,24.4574074074074
45.345,23.6205128205128,27.5945945945946,24.0703703703704
45.845,23.4915750915751,27.6047297297297,24.3151851851852
46.345,23.2776556776557,26.7702702702703,24.0955555555556
46.845,23.4512820512821,27.1655405405405,24.267037037037
47.345,23.2175824175824,26.6368243243243,23.9059259259259
47.845,22.4564102564103,27.2111486486486,23.9111111111111
48.345,22.2673992673993,26.9273648648649,23.8307407407407
48.845,22.025641025641,26.7128378378378,23.9451851851852
49.345,21.7326007326007,26.4037162162162,23.2962962962963
49.845,22.0571428571429,27.1309121621622,23.5255555555556
50.345,21.8608058608059,26.6064189189189,23.5988888888889
50.845,22.1106227106227,26.1841216216216,23.6777777777778
51.345,21.7494505494506,27.3243243243243,23.8966666666667
51.845,21.5062271062271,26.7618243243243,23.8248148148148
52.345,21.7369963369963,26.9670608108108,23.8366666666667
52.845,22.4388278388278,26.5658783783784,23.4966666666667
53.345,22.2065934065934,26.1013513513514,23.507037037037
53.845,21.7238095238095,25.8099662162162,23.4274074074074
54.345,21.7113553113553,25.6891891891892,23.6996296296296
54.845,21.2805860805861,25.6925675675676,22.987037037037
